,trial,n,r,order,SNR,mode,alpha,sampling,tolerance,time,rel_error,revealed,post_als_rel_error
184,4,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.1359773511067033,0.0041289239461056,0.17064,0.0342109816565322
185,5,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0894276592880487,0.0023757481850962,0.15864,0.0323734062625821
186,6,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0872002188116312,0.0019745955017236,0.15864,0.0319729748448294
187,7,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.045698756352067,0.0044845636844505,0.14664,0.0390039615723659
188,8,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.0466094994917512,0.0001638573143082,0.14664,0.0339160774596656
189,9,50,4,3,inf,seq,1.0,"[0.6, 0.1]",0.001,1.044289850629866,0.0065241128088062,0.14664,0.033761795347017
190,0,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.8819123357534409,0.0020374821453314,0.23896,0.0386191177315985
191,1,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.8441532691940663,0.0014723307527842,0.22496,0.0349595432123658
192,2,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.8422843711450696,0.0013743698918776,0.22496,0.0374026963907062
193,3,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.8323632152751088,5.6122822711158696e-05,0.21096,0.0339097629753619
194,4,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.857317604124546,0.0016735082544926,0.22496,0.0319098456487969
195,5,50,8,3,50.0,seq,1.0,"[0.7, 0.1]",0.001,1.8518512528389688,0.0008690982116794,0.22496,0.0366636361506922
