,Unnamed: 0,trial,n,r,order,SNR,mode,slices,alpha,beta,delta,gamma,time,adaptive,inner_als,rel_error,matrix budget,total budget,revealed,post_als_rel_error,just_als_rel_error
200,200,0,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1317811273038387,True,False,0.0087257419215451,4560,6160,0.04928,0.0006541949887869,0.1765426470792558
201,201,1,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1268089208751917,True,False,0.0043511942817192,4570,6170,0.04936,0.0012524786730775,0.1683667663732481
202,202,2,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1265964321792125,True,False,0.0040639973791039,4560,6160,0.04928,0.0012043125531614,0.1956610932891973
203,203,3,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.126535627990961,True,False,0.0061833474671393,4560,6160,0.04928,0.0009585895160087,0.1676172283444089
204,204,4,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1250224355608225,True,False,0.0087483322837813,4560,6160,0.04928,0.0007261896673988,0.1890024998078042
205,205,5,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.125377444550395,True,False,0.0053200872412379,4560,6160,0.04928,0.0007502235200436,0.1793406444069789
206,206,6,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1727485693991184,True,False,0.0109114337043751,4560,6160,0.04928,0.0009661970565046,0.1659854039485902
207,207,7,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1815627869218588,True,False,0.08067677737922,4560,6160,0.04928,0.0088008895998318,0.1596803705045143
208,208,8,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.180731488391757,True,False,0.0217180713831086,4550,6150,0.0492,0.0035260040633317,0.1847260988392924
209,209,9,50,4,3,30.0,deli,2,1.0,0.5,8.0,0.7,0.1842956524342298,True,False,0.0019876304861536,4580,6180,0.04944,0.000271462112784,0.1611090244498251
210,210,0,50,6,3,20.0,deli,2,1.0,0.5,8.0,0.7,0.3247062359005213,True,False,0.1785057357026878,4900,7300,0.0584,0.0505868686606725,0.1940184926414043
